id,src,month,day,name_cn,name_native,name_romaji,alt_names,types,ptype,work,work_cn,work_year,heat,fav,votes,collects,nsfw,thumb,image,alts,palette,bgm_id,url_al,url_bgm,url_vndb
al89334,anilist,10,10,灵幻新隆,霊幻新隆,Arataka Reigen,The Century's Greatest Psychic / Master,动画|漫画,动画,モブサイコ100,灵能百分百,2016,25211,25211,0,337,,https://s4.anilist.co/file/anilistcdn/character/medium/b89334-OPj1hCzvrt7X.png,https://s4.anilist.co/file/anilistcdn/character/large/b89334-OPj1hCzvrt7X.png,https://lain.bgm.tv/r/400/pic/crt/l/7c/c7/37115_crt_yB5EM.jpg?r=1465897094,,37115,https://anilist.co/character/89334,https://bgm.tv/character/37115,
al14,anilist,6,9,宇智波鼬,うちはイタチ,Itachi Uchiha,Sharingan no Itachi (写輪眼のイタチ) / Itachi of the Sharingan,动画|漫画,动画,NARUTO -ナルト-,火影忍者,2002,23360,23360,0,130,,https://s4.anilist.co/file/anilistcdn/character/medium/b14-9Kb1E5oel1ke.png,https://s4.anilist.co/file/anilistcdn/character/large/b14-9Kb1E5oel1ke.png,https://lain.bgm.tv/r/400/pic/crt/l/87/e7/6911_crt_9pA4t.jpg,,6911,https://anilist.co/character/14,https://bgm.tv/character/6911,
al34470,anilist,7,25,牧濑红莉栖,牧瀬紅莉栖,Kurisu Makise,Christina / Assistant / American Virgin / Perverted Genius Girl,动画|漫画|游戏|Galgame,动画,シュタインズ・ゲート,命运石之门,2011,23246,23246,16857,3891,,https://s4.anilist.co/file/anilistcdn/character/medium/b34470-Jw2LXZBL5R8i.png,https://s4.anilist.co/file/anilistcdn/character/large/b34470-Jw2LXZBL5R8i.png,https://t.vndb.org/ch/34/97234.jpg|https://lain.bgm.tv/r/400/pic/crt/l/f7/2a/12393_crt_HlWt6.jpg,,12393,https://anilist.co/character/34470,https://bgm.tv/character/12393,https://vndb.org/c6487
al10138,anilist,2,3,,トルフィン・カルルセヴニ,Thorfinn Karlsefni,ثورفين / Thorsson,动画|漫画,动画,ヴィンランド・サガ,冰海战记,2019,22839,22839,0,0,,https://s4.anilist.co/file/anilistcdn/character/medium/b10138-zOPrka0ddZOR.png,https://s4.anilist.co/file/anilistcdn/character/large/b10138-zOPrka0ddZOR.png,,,,https://anilist.co/character/10138,,
al127212,anilist,3,20,虎杖悠仁,虎杖悠仁,Yuuji Itadori,Sukuna's Vessel / The Tiger of West Junior High,动画|漫画|游戏,动画,呪術廻戦,咒术回战,2020,22818,22818,0,95,,https://s4.anilist.co/file/anilistcdn/character/medium/b127212-FVm2tD0erQ5B.png,https://s4.anilist.co/file/anilistcdn/character/large/b127212-FVm2tD0erQ5B.png,https://lain.bgm.tv/r/400/pic/crt/l/b4/cd/73336_crt_XHJ7U.jpg?r=1608836932,,73336,https://anilist.co/character/127212,https://bgm.tv/character/73336,
al85,anilist,9,15,旗木卡卡西,はたけカカシ,Kakashi Hatake,The Copy Ninja / Kakashi of the Sharingan / Sukea / 畑鹿驚,动画|漫画,动画,NARUTO -ナルト-,火影忍者,2002,22804,22804,0,166,,https://s4.anilist.co/file/anilistcdn/character/medium/b85-mkVBh2yjxjmx.png,https://s4.anilist.co/file/anilistcdn/character/large/b85-mkVBh2yjxjmx.png,https://lain.bgm.tv/r/400/pic/crt/l/93/79/6536_crt_anidb.jpg?r=1758007737,,6536,https://anilist.co/character/85,https://bgm.tv/character/6536,
al127222,anilist,12,2,樱岛麻衣,桜島麻衣,Mai Sakurajima,,动画,动画,青春ブタ野郎はバニーガール先輩の夢を見ない,青春笨蛋少年不做兔女郎学姐的梦,2018,22664,22664,0,1266,,https://s4.anilist.co/file/anilistcdn/character/medium/b127222-Jh5hhP7vZ7s1.png,https://s4.anilist.co/file/anilistcdn/character/large/b127222-Jh5hhP7vZ7s1.png,https://lain.bgm.tv/r/400/pic/crt/l/7d/1c/35980_crt_UaMTM.jpg?r=1753912182,,35980,https://anilist.co/character/127222,https://bgm.tv/character/35980,
al126824,anilist,12,31,猫猫,猫猫,Maomao,Shaomao / Xiaomao / 小猫 / Miêu Miêu,动画|漫画|轻小说,动画,薬屋のひとりごと,药屋少女的呢喃,2023,22404,22404,0,566,,https://s4.anilist.co/file/anilistcdn/character/medium/b126824-MqsCncTO1qpv.png,https://s4.anilist.co/file/anilistcdn/character/large/b126824-MqsCncTO1qpv.png,https://lain.bgm.tv/r/400/pic/crt/l/63/84/61330_crt_GRcpk.jpg?r=1738768905,,61330,https://anilist.co/character/126824,https://bgm.tv/character/61330,
al28,anilist,4,4,酷拉皮卡,クラピカ,Kurapika,Chain User / Chain Bastard / 古勒比加,动画|漫画,动画,HUNTER×HUNTER (2011),,2011,22202,22202,0,263,,https://s4.anilist.co/file/anilistcdn/character/medium/b28-ivA7UGnfE40a.png,https://s4.anilist.co/file/anilistcdn/character/large/b28-ivA7UGnfE40a.png,https://lain.bgm.tv/r/400/pic/crt/l/b9/24/6551_crt_1jOw1.jpg,,6551,https://anilist.co/character/28,https://bgm.tv/character/6551,
al80,anilist,2,28,夜神月,夜神月,Light Yagami,Kira / Light Asahi / God / Kami；キラ（奇樂）,动画|漫画,动画,DEATH NOTE,死亡笔记,2006,22034,22034,0,679,,https://s4.anilist.co/file/anilistcdn/character/medium/b80-26EhwSsSqQ50.png,https://s4.anilist.co/file/anilistcdn/character/large/b80-26EhwSsSqQ50.png,https://lain.bgm.tv/r/400/pic/crt/l/bd/36/2215_crt_nWAZZ.jpg?r=1720107970,,2215,https://anilist.co/character/80,https://bgm.tv/character/2215,
al35252,anilist,12,14,冈部伦太郎,岡部倫太郎,Rintarou Okabe,Rintaro / Hououin Kyouma (鳳凰院凶真) / Okarin (オカリン) / Mad Scientist,动画|漫画|Galgame,动画,シュタインズ・ゲート,命运石之门,2011,22007,22007,16857,1072,,https://s4.anilist.co/file/anilistcdn/character/medium/b35252-DY9TW6pusqeh.png,https://s4.anilist.co/file/anilistcdn/character/large/b35252-DY9TW6pusqeh.png,https://t.vndb.org/ch/29/10729.jpg|https://lain.bgm.tv/r/400/pic/crt/l/af/40/12392_crt_X8YKA.jpg,,12392,https://anilist.co/character/35252,https://bgm.tv/character/12392,https://vndb.org/c6498
al120649,anilist,1,1,四宫辉夜,四宮かぐや,Kaguya Shinomiya,Muscle Queen / Auntie / Princess / Demon,动画|漫画,动画,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,2019,21556,21556,0,925,,https://s4.anilist.co/file/anilistcdn/character/medium/b120649-NPaWaIpWy60E.png,https://s4.anilist.co/file/anilistcdn/character/large/b120649-NPaWaIpWy60E.png,https://lain.bgm.tv/r/400/pic/crt/l/9e/72/66899_crt_kNOM3.jpg?r=1547389516,,66899,https://anilist.co/character/120649,https://bgm.tv/character/66899,
al89616,anilist,5,12,影山茂夫,影山茂夫,Shigeo Kageyama,Mob (モブ) / White T Poison / Shige / Shadow Leader,动画|漫画,动画,モブサイコ100,灵能百分百,2016,21195,21195,0,194,,https://s4.anilist.co/file/anilistcdn/character/medium/b89616-dXmdOc7L6SDi.png,https://s4.anilist.co/file/anilistcdn/character/large/b89616-dXmdOc7L6SDi.png,https://lain.bgm.tv/r/400/pic/crt/l/89/67/37114_crt_i2CI5.jpg,,37114,https://anilist.co/character/89616,https://bgm.tv/character/37114,
al17,anilist,10,10,漩涡鸣人,うずまきナルト,Naruto Uzumaki,Nine-Tails Jinchuuriki / The Show-Off / Number One Unpredictable / Noisy Ninja,动画|漫画|游戏,动画,NARUTO -ナルト-,火影忍者,2002,20070,20070,0,216,,https://s4.anilist.co/file/anilistcdn/character/medium/b17-phjcWCkRuIhu.png,https://s4.anilist.co/file/anilistcdn/character/large/b17-phjcWCkRuIhu.png,https://lain.bgm.tv/r/400/pic/crt/l/91/f5/2162_crt_sSWfn.jpg,,2162,https://anilist.co/character/17,https://bgm.tv/character/2162,
al126071,anilist,7,14,灶门炭治郎,竈門炭治郎,Tanjirou Kamado,Gonpachiro Kamaboko / Monjiro / Santaro / Kentaro,动画,动画,鬼滅の刃,鬼灭之刃,2019,19922,19922,0,158,,https://s4.anilist.co/file/anilistcdn/character/medium/b126071-BTNEc1nRIv68.png,https://s4.anilist.co/file/anilistcdn/character/large/b126071-BTNEc1nRIv68.png,https://lain.bgm.tv/r/400/pic/crt/l/bd/1e/57305_crt_9ZG90.jpg?r=1610926902,,57305,https://anilist.co/character/126071,https://bgm.tv/character/57305,
al89220,anilist,1,11,轰焦冻,轟焦凍,Shouto Todoroki,Shouto (ショート) / Shoto Todoroki / Half-and-Half / Icy-Hot,动画,动画,僕のヒーローアカデミア,我的英雄学院,2016,19653,19653,0,76,,https://s4.anilist.co/file/anilistcdn/character/medium/b89220-KNBwaVFAR8FD.png,https://s4.anilist.co/file/anilistcdn/character/large/b89220-KNBwaVFAR8FD.png,https://lain.bgm.tv/r/400/pic/crt/l/6f/2e/36547_crt_6hHek.jpg?r=1469017785,,36547,https://anilist.co/character/89220,https://bgm.tv/character/36547,
al498,anilist,2,3,远坂凛,遠坂凛,Rin Toosaka,Rin Tohsaka / Rin Tousaka / Poppins of July / Red Devil,动画|Galgame,动画,Fate/Zero,Fate/Zero,2011,19226,13437,19226,1809,,https://s4.anilist.co/file/anilistcdn/character/medium/b498-lwawtSpLyATL.png,https://s4.anilist.co/file/anilistcdn/character/large/b498-lwawtSpLyATL.png,https://t.vndb.org/ch/37/37.jpg|https://lain.bgm.tv/r/400/pic/crt/l/79/f0/10596_crt_J4h2w.jpg?r=1675677254,,10596,https://anilist.co/character/498,https://bgm.tv/character/10596,https://vndb.org/c34
vndb-c53,vndb,3,2,黑樱,黒 桜,Dark Sakura,Kuro Sakura,Galgame,Galgame,Fate/stay night,Fate/stay night,2004,19226,0,19226,1,,https://t.vndb.org/ch/56/56.jpg,https://t.vndb.org/ch/56/56.jpg,https://lain.bgm.tv/r/400/pic/crt/l/ed/0f/149696_crt_R5E3N.jpg?r=1703947907,#790822 #900e35 #53071e #bd1538 #da3f55 #e7b1ba,149696,,https://bgm.tv/character/149696,https://vndb.org/c53
al500,anilist,3,2,间桐樱,間桐桜,Sakura Matou,Tohsaka Sakura / 遠坂 桜 / Toosaka Sakura / Original Sakura,动画|Galgame,动画,Fate/Zero,Fate/Zero,2011,19226,18293,19226,1054,,https://s4.anilist.co/file/anilistcdn/character/medium/b500-NQrLbnBr1sDv.png,https://s4.anilist.co/file/anilistcdn/character/large/b500-NQrLbnBr1sDv.png,https://t.vndb.org/ch/36/36.jpg|https://lain.bgm.tv/r/400/pic/crt/l/cf/a0/3215_crt_bB4Yf.jpg,,3215,https://anilist.co/character/500,https://bgm.tv/character/3215,https://vndb.org/c35
al10010,anilist,11,11,卫宫切嗣,衛宮切嗣,Kiritsugu Emiya,Magus Killer / Kerry / EMIYA (Assassin) / 魔術師殺し,动画|漫画|Galgame,动画,Fate/Zero,Fate/Zero,2011,19226,7185,19226,579,,https://s4.anilist.co/file/anilistcdn/character/medium/b10010-fNspzan5MzNk.png,https://s4.anilist.co/file/anilistcdn/character/large/b10010-fNspzan5MzNk.png,https://t.vndb.org/ch/17/116717.jpg|https://lain.bgm.tv/r/400/pic/crt/l/da/8e/3221_crt_Rz66r.jpg?r=1499148483,,3221,https://anilist.co/character/10010,https://bgm.tv/character/3221,https://vndb.org/c96619
al503,anilist,11,20,伊莉雅斯菲尔·冯·爱因兹贝伦,イリヤスフィール・フォン・アインツベルン,Illyasviel von Einzbern,Illya / Ilya / Iriya / イリヤ,动画|Galgame,动画,Fate/Zero,Fate/Zero,2011,19226,3294,19226,1134,,https://s4.anilist.co/file/anilistcdn/character/medium/b503-SmS87yq6l2tD.png,https://s4.anilist.co/file/anilistcdn/character/large/b503-SmS87yq6l2tD.png,https://t.vndb.org/ch/39/39.jpg|https://lain.bgm.tv/r/400/pic/crt/l/4b/c1/3218_crt_uuwa4.jpg,,3218,https://anilist.co/character/503,https://bgm.tv/character/3218,https://vndb.org/c37
al506,anilist,12,28,言峰绮礼,言峰綺礼,Kirei Kotomine,麻婆神父,动画|漫画|Galgame,动画,Fate/Zero,Fate/Zero,2011,19226,3594,19226,246,,https://s4.anilist.co/file/anilistcdn/character/medium/b506-qeg0TqitdCMS.png,https://s4.anilist.co/file/anilistcdn/character/large/b506-qeg0TqitdCMS.png,https://t.vndb.org/ch/44/44.jpg|https://lain.bgm.tv/r/400/pic/crt/l/d5/96/3220_crt_0bm1O.jpg?r=1514751314,,3220,https://anilist.co/character/506,https://bgm.tv/character/3220,https://vndb.org/c42
bgm-bgm59588,vndb,5,11,纱世里,Sayori,Sayori,さより / 纱世里,Galgame,Galgame,Doki Doki Literature Club!,心跳文学部！,2017,19196,0,19196,52,,https://t.vndb.org/ch/80/86880.jpg,https://t.vndb.org/ch/80/86880.jpg,https://lain.bgm.tv/r/400/pic/crt/l/76/65/59588_crt_1FBmC.jpg?r=1626587563,,59588,,https://bgm.tv/character/59588,https://vndb.org/c64503
bgm-bgm59587,vndb,7,30,夏树,Natsuki,Natsuki,なつき / 夏树,Galgame,Galgame,Doki Doki Literature Club!,心跳文学部！,2017,19196,0,19196,34,,https://t.vndb.org/ch/79/86879.jpg,https://t.vndb.org/ch/79/86879.jpg,https://lain.bgm.tv/r/400/pic/crt/l/ce/cd/59587_crt_xYcgC.jpg?r=1626587648,#b58c95 #5b5174 #eaaeb8 #f2e8df #ffffff,59587,,https://bgm.tv/character/59587,https://vndb.org/c64505
bgm-bgm59586,vndb,9,22,莫妮卡,Monika,Monika,莫妮卡 / Mon,Galgame,Galgame,Doki Doki Literature Club!,心跳文学部！,2017,19196,0,19196,132,,https://t.vndb.org/ch/46/86946.jpg,https://t.vndb.org/ch/46/86946.jpg,https://lain.bgm.tv/r/400/pic/crt/l/60/2b/59586_crt_JYD00.jpg?r=1626587767,#b37f82 #5a4a6c #cfb8bb #ece4df #f6f5f2 #ffffff,59586,,https://bgm.tv/character/59586,https://vndb.org/c64502
al126635,anilist,12,22,伏黑惠,伏黒恵,Megumi Fushiguro,Sea Urchin Head,动画|漫画|游戏,动画,呪術廻戦,咒术回战,2020,18823,18823,0,72,,https://s4.anilist.co/file/anilistcdn/character/medium/b126635-L0y3I92JSUkN.png,https://s4.anilist.co/file/anilistcdn/character/large/b126635-L0y3I92JSUkN.png,https://lain.bgm.tv/r/400/pic/crt/l/8a/c3/73337_crt_DlZDY.jpg?r=1608837008,,73337,https://anilist.co/character/126635,https://bgm.tv/character/73337,
al88892,anilist,4,20,爆豪胜己,爆豪勝己,Katsuki Bakugou,Katsuki Bakugo / Kacchan (かっちゃん),动画,动画,僕のヒーローアカデミア,我的英雄学院,2016,18687,18687,0,61,,https://s4.anilist.co/file/anilistcdn/character/medium/b88892-bdOha3lNcaN6.png,https://s4.anilist.co/file/anilistcdn/character/large/b88892-bdOha3lNcaN6.png,https://lain.bgm.tv/r/400/pic/crt/l/19/90/36546_crt_KIaea.jpg?r=1469018305,,36546,https://anilist.co/character/88892,https://bgm.tv/character/36546,
bgm-bgm36243,vndb,2,7,砂藤莉莉,砂藤リリー,Lilly Satou,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,18,,https://t.vndb.org/ch/52/17352.jpg,https://t.vndb.org/ch/52/17352.jpg,https://lain.bgm.tv/r/400/pic/crt/l/1d/30/36243_crt_7k2Ul.jpg,#9c9b89 #b9b0a2 #37322a #d8cebe #5d5e4f #f4f4f3,36243,,https://bgm.tv/character/36243,https://vndb.org/c764
vndb-c10978,vndb,2,19,,,Miki Miura,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,0,,https://t.vndb.org/ch/55/17355.jpg,https://t.vndb.org/ch/55/17355.jpg,,#989d7b #c9baa8 #4a5144 #6a6b61 #2c322a #f4f4f4,,,,https://vndb.org/c10978
bgm-bgm36244,vndb,3,13,手冢琳,手塚琳,Rin Tezuka,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,16,,https://t.vndb.org/ch/53/17353.jpg,https://t.vndb.org/ch/53/17353.jpg,https://lain.bgm.tv/r/400/pic/crt/l/2f/31/36244_crt_334Tt.jpg,#5a3e1e #84705c #a69681 #605742 #c0c3b2 #f0f1ed,36244,,https://bgm.tv/character/36244,https://vndb.org/c762
bgm-bgm36241,vndb,3,14,茨崎笑美,茨崎笑美,Emi Ibarazaki,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,13,,https://t.vndb.org/ch/30/17430.jpg,https://t.vndb.org/ch/30/17430.jpg,https://lain.bgm.tv/r/400/pic/crt/l/0c/1a/36241_crt_L1dbO.jpg,#3b4941 #c2cbd3 #6b766d #8f928b #aeabaa #f5f1ec,36241,,https://bgm.tv/character/36241,https://vndb.org/c757
vndb-c767,vndb,4,1,,,Hisao Nakai,Hicchan,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,0,,https://t.vndb.org/ch/32/22132.jpg,https://t.vndb.org/ch/32/22132.jpg,,#936e42 #bb995c #5a3824 #d1b690 #ead8b7 #fbf4d7,,,,https://vndb.org/c767
bgm-bgm63776,vndb,5,6,羽加道静音,羽加道静音,Shizune Hakamichi,Shicchan,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,2,,https://t.vndb.org/ch/46/17346.jpg,https://t.vndb.org/ch/46/17346.jpg,https://lain.bgm.tv/r/400/pic/crt/l/44/30/63776_crt_VfOV1.jpg,#4f4631 #695f40 #8e8b6c #beb6a0 #3d4557 #ecebe4,63776,,https://bgm.tv/character/63776,https://vndb.org/c760
vndb-c6078,vndb,5,18,,,Akira Satou,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,0,,https://t.vndb.org/ch/58/17358.jpg,https://t.vndb.org/ch/58/17358.jpg,,#604625 #927b54 #33271d #181211 #e6d3a9 #3b3936,,,,https://vndb.org/c6078
bgm-bgm36242,vndb,7,10,池泽华子,池沢華子,Hanako Ikezawa,,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,20,,https://t.vndb.org/ch/48/17348.jpg,https://t.vndb.org/ch/48/17348.jpg,https://lain.bgm.tv/r/400/pic/crt/l/f8/6a/36242_crt_vt99v.jpg,,36242,,https://bgm.tv/character/36242,https://vndb.org/c766
bgm-bgm63777,vndb,11,1,御门椎名,御門椎名,Shiina Mikado,Misha / ミーシャ / Miisha / 米莎,Galgame,Galgame,Katawa Shoujo,,2009,18528,0,18528,3,,https://t.vndb.org/ch/51/17351.jpg,https://t.vndb.org/ch/51/17351.jpg,https://lain.bgm.tv/r/400/pic/crt/l/e4/97/63777_crt_guduv.jpg,#58503a #443c2a #6b694e #968f7e #d4b5b6 #eff0f0,63777,,https://bgm.tv/character/63777,https://vndb.org/c758
al89198,anilist,6,19,太宰治,太宰治,Osamu Dazai,Mackerel / Bandage Wasting Device,动画|漫画|Galgame,动画,文豪ストレイドッグス,文豪野犬,2016,17896,17896,111,148,,https://s4.anilist.co/file/anilistcdn/character/medium/b89198-qKmRTw4Y3PRC.png,https://s4.anilist.co/file/anilistcdn/character/large/b89198-qKmRTw4Y3PRC.png,https://t.vndb.org/ch/66/74766.jpg|https://lain.bgm.tv/r/400/pic/crt/l/76/25/35238_crt_vs2vv.jpg?r=1446950816,,35238,https://anilist.co/character/89198,https://bgm.tv/character/35238,https://vndb.org/c62486
al6356,anilist,9,27,乔瑟夫·乔斯达,ジョセフ・ジョースター,Joseph Joestar,JoJo / Josef Joestar / Mr. Joestar / Old Man,动画|漫画,动画,ジョジョの奇妙な冒険 (TV),,2012,17871,17871,0,354,,https://s4.anilist.co/file/anilistcdn/character/medium/b6356-RImEfUfHpC58.png,https://s4.anilist.co/file/anilistcdn/character/large/b6356-RImEfUfHpC58.png,https://lain.bgm.tv/r/400/pic/crt/l/32/fb/879_crt_8LVcM.jpg,,879,https://anilist.co/character/6356,https://bgm.tv/character/879,
al89361,anilist,12,4,惠惠,めぐみん,Megumin,Crazy Explosion Girl / Psycho Girl,动画|漫画,动画,この素晴らしい世界に祝福を！,为美好的世界献上祝福！,2016,17576,17576,0,1660,,https://s4.anilist.co/file/anilistcdn/character/medium/b89361-tq8PQQ4MmF0M.png,https://s4.anilist.co/file/anilistcdn/character/large/b89361-tq8PQQ4MmF0M.png,https://lain.bgm.tv/r/400/pic/crt/l/2e/ba/35681_crt_8rGq5.jpg?r=1715442740,,35681,https://anilist.co/character/89361,https://bgm.tv/character/35681,
al133676,anilist,3,5,喜多川海梦,喜多川海夢,Marin Kitagawa,Marine (まりん),动画|漫画,动画,その着せ替え人形は恋をする,更衣人偶坠入爱河,2022,17518,17518,0,980,,https://s4.anilist.co/file/anilistcdn/character/medium/b133676-kV2czE3C8Qls.png,https://s4.anilist.co/file/anilistcdn/character/large/b133676-kV2czE3C8Qls.png,https://lain.bgm.tv/r/400/pic/crt/l/a6/d9/102090_crt_QHm2U.jpg?r=1754747173,,102090,https://anilist.co/character/133676,https://bgm.tv/character/102090,
